########################
# Weapon Proficiencies #
########################
Medium Shield,3,"Small Shield","You have practiced using a medium-sized shield in combat, allowing you to move and block blows while maintaining your footing in the fight. You may equip a medium shield—which is defined as “no longer in any one dimension than the distance from its wielder’s waist to the ground” if you dedicate an arm to using it. You may only ever equip 1 shield at a time."
Helmet Mastery,2,-,"You have had the opportunity to practice combat while wearing a helmet, such that your fighting style is not thrown off by a helmet’s restrictions on hearing or vision. Wearing a helmet in this way makes you immune to stun effects that are delivered by physical attacks (usually through the STUN skill)—when such an attack strikes you, you may call “no effect.” Stun effects delivered through other means (such as by gesture or by spell packet) cannot be blocked by a helmet in this way."
Visor Mastery,2,"Helmet Mastery","You have had the opportunity to practice combat while wearing a closed-faced helmet, such that your fighting style is not thrown off by a visor’s severe restriction of your visual field. Wearing a closed-faced helmet in this way makes you immune to any effects that are delivered by gaze— when an enemy calls a “by my gaze” effect, you may call “no effect.”"

#########################
# General Combat Skills #
#########################
Toughness,3*,-,"Through intense physical training, your body has become more resilient to damage. All player characters (and the vast majority of people in the world of Adelrune) default to a maximum Health Point total of 5—but, each time you take this skill, your character’s maximum Health Point total permanently increases by 1. It is important to note, though, that a character cannot take this skill more than 5 times. (Therefore, Twin Mask characters have an effective “natural” Health Point maximum cap of 10 HP.)"
Dodge,6*,-,"You have developed your agility to the point that, once in a while, you can suddenly evade almost any direct attack. Immediately after you are hit with any attack that could have been physically avoided (such as any weapon attack or a spell packet), you may call “dodge” to avoid suffering any effects from that attack. You do not need to physically leap aside, although some role-playing (of, perhaps, a quick twist of your torso) is encouraged. If you take this skill multiple times, you should always keep track of how many uses of DODGE you still have available, until your character gets a chance to rest and regain their full complement of skills."
Willpower,6*,-,"You have developed your mental resilience to the point that, once in a while, you can simply refuse to accept almost any single mind-based or indirect attack. When you would be affected by any attack that cannot be physically dodged—such as effects delivered by voice, gaze, potion, gesture, or ward—you may instead call “willpower” to avoid suffering any effects from that attack. If you take this skill multiple times, you should always keep track of how many uses of WILLPOWER you still have available, until your character gets a chance to rest and regain their full complement of skills."
Parry,4*,-,"You have developed your combat skills to the point that, once in a while, you can use your weapon to block even the quickest or deadliest blows. As long as you are wielding a weapon, immediately after you are hit with a melee attack (or any effect that is delivered by melee attack) by an opponent, you may call “parry” to avoid suffering any effects from that attack. If you take this skill multiple times, you should always keep track of how many uses of PARRY you still have available, until your character gets a chance to rest and regain their full complement of skills."
Guardian,4,"Parry","You are not just good at protecting yourself in combat—you have practiced fighting in tandem with allies, so you can also protect them from attacks while you are within arm’s reach. As long as you are wielding a weapon, whenever an ally is hit with a melee attack, you may immediately touch that ally and call “guard parry” to prevent them from suffering any effects from the attack.  This counts as expending 1 use of the PARRY skill, and you cannot use the GUARDIAN skill if you do not have extra uses of PARRY to spend."
Stamina Training,2,-,"You have physically conditioned yourself to the point that you can recover more quickly when you are exhausted or shaking off the effects of being gravely injured. Normally, a state of weakness lasts for 3 minutes; by taking this skill, however, you reduce the amount of time your character suffers weakness effects to only 2 minutes."
Great Stamina,4,"Stamina Training","You have physically conditioned yourself until you approach the pinnacle of fitness, so you can recover extremely quickly when you are exhausted or shaking off the effects of being gravely injured. Normally, a state of weakness lasts for 3 minutes; by taking this skill, however, you reduce the amount of time your character suffers weakness effects to only 1 minute."
3-Damage Strike,3*,-,"You really know how to put your full effort into a single blow. As you make a physical ranged or melee attack, you may choose to have that attack deal a base amount of 3 damage (and therefore call “3”). If you take this skill multiple times, you should always keep track of how many uses of 3-DAMAGE STRIKE you still have available, until your character gets a chance to rest and regain their full complement of skills."
5-Damage Strike,6*,-,"You know how to strike with both precision and force, dealing a devastating amount of damage with a single blow. As you make a physical ranged or melee attack, you may choose to have that attack deal a base amount of 5 damage (and therefore call “5”). If you take this skill multiple times, you should always keep track of how many uses of 5-DAMAGE STRIKE you still have available, until your character gets a chance to rest and regain their full complement of skills."
Stun,3*,-,"You have learned how to occasionally strike your foes much harder than they expect, knocking them off balance and giving you (and your allies) an opportunity to press the advantage. As you make a physical ranged or melee attack, you may call “stun” once. This produces a stun effect, replacing the damage that your attack would normally deal. If you take this skill multiple times, you should always keep track of how many uses of STUN you still have available, until your character gets a chance to rest and regain their full complement of skills."

#########################
# Archery and Woodcraft #
#########################
Precision,7,"Bow and Arrow, 3-Damage Strike ×2","Through extensive practice with the bow, you have gained the ability to focus your attacks on the weak parts of enemies’ defenses, constantly dealing more damage through accuracy rather than raw force. Whenever you attack with a bow, you deal a base amount of 2 damage (and therefore may call “2”)."
Master Precision,7,"Precision, 5-Damage Strike ×2","Through constant practice with the bow, you have become a master archer, with the ability to pierce an enemy’s defenses and strike for significant amounts of damage with every arrow.  Whenever you attack with a bow, you deal a base amount of 3 damage (and therefore may call “3”)."
Ranged Disarm,*6,"Precision","With a steady hand and a quick eye, you can knock an enemy’s weapon out of their hands. As you make an attack with a bow, you may call “disarm” once. This produces a disarm effect, replacing the damage that your attack would normally deal. If you take this skill multiple times, you should always keep track of how many uses of RANGED DISARM you still have available, until your character gets a chance to rest and regain their full complement of skills."
Volley Master,10,"Master Precision","You have learned to not only use a bow masterfully but also organize other archers to stand together and strike at the perfect time. If you are part of a group of at least 3 archers, each of whom is standing within arm’s reach of another member of the group, you can order all of them to launch arrows at the same time by calling “Loose!” (or perhaps “Volley!” or “Fire!”). If you do, and if at least 3 arrows are simultaneously fired immediately afterward, each of those arrows will deal a base amount of 5 damage (and each archer may therefore call “5”). This process can be repeated as often as all the archers in the VOLLEY can ready another arrow (as long as you call, each time, for a unified strike). To qualify as an “archer” for the purposes of this skill, a character must have the BOW AND ARROW skill, and they must actually have arrows to fire. They do not need to have either PRECISION or MASTER PRECISION."
Tracking,3,-,"You have spent the time needed to practice the art of following tracks—whether they were left by animals or people—in a variety of surroundings. To use this skill, you must call “bid – tracking” and explain your intentions to a Twin Mask staff member, who will then lead you in the direction that the tracks lead. This skill will almost always be used when you are on a “mod” away from the main space of the Twin Mask game, or perhaps on your way to such a mod, if you are following someone who has left the main game space. (If you are following a fleeing person or animal in this way, you must begin tracking them within 30 minutes of their leaving in order to have any chance of catching up.) TRACKING can generally not be used within the main game space: if the person or animal you intend to track is still “in play,” you must actually search for them, with no active help from Twin Mask staff."
Mask Tracks,6,"Tracking","Your time carefully looking for others’ tracks has given you insight into what a tracker would look for, so you know how to keep others from finding you. If you have this skill, others cannot use the TRACKING skill to follow your trail."
Mask Tracks: Group,4,"Mask Tracks","Your mastery of “leaving no trace” has been honed to the point that, if you put in the effort, you can keep anyone from being able to follow you, even if you are with a group of people. When you use this skill, you must continually role-play the process of sweeping the area behind your group of traces of your passage. If you do, then you can protect a group of up to 6 additional people and yourself from being followed with the TRACKING skill."
False Tracks,6,"Mask Tracks","In addition to sweeping away any traces of your passage, you have practiced the ability to leave misleading tracks in their place. When you use this skill, you must role-play the process of rearranging your tracks and fabricating new ones. If you do, then you can produce tracks that represent a different number of people, a different destination, or a different kind of person (or animal) than your normal tracks would indicate."
False Tracks: Group,6,"False Tracks","You have practiced the art of leaving misleading traces of your passage so much that you can replace the tracks of an entire group with completely different ones. When you use this skill, you must role-play the process of rearranging your party’s tracks and fabricating new ones. If you do, then you can produce tracks that represent a different number of people, a different destination, or a different kind of person (or animal) than your group’s normal tracks would indicate. This skill can affect the tracks of a group of 6 people in addition to yourself"
Scouting,2,"Tracking","You are stealthy enough to investigate outlying areas on your own, staying safe and not alerting enemies to your presence, so that you can report any likely incursions to your allies ahead of time. To use this skill, you must spend 30 minutes role-playing the process of scouting and patrolling the perimeter of the main Twin Mask game space. After you have done so, you may approach the “logistics” section of Twin Mask’s staff area and ask staff members 3 yes-or-no questions about what kinds of attacks or other incursions are likely to trouble the main game space within the next 3 hours. Staff members will answer your questions as well as they can, although you should keep in mind that the ever-changing nature of Twin Mask can eventually make those answers less than 100% accurate. The SCOUTING skill can only be used once per game."

####################
# Officer Training #
####################
Sudden Motivation,1*,-,"You are practiced in the art of persuading an ally to push through temporary weakness—and sometimes a swift slap to the face is the greatest motivator. By role-playing 3 seconds of physical contact with an ally (such as by pretending to slap, shake, or kick them) and saying something motivational (such as “I KNOW this isn’t enough to take you down!”), you gain the ability to use a single, touch-based Remove Weakness effect on that ally. If you take this skill multiple times, you should always keep track of how many uses of SUDDEN MOTIVATION you still have available, until your character gets a chance to rest and regain their full complement of skills."
Inspirational Speech,2*,-,"You are practiced in the art of motivation—whether you are inspiring people just by shouting your enthusiasm or by weaving a complex web of words, you know how to give a speech that will people back up on their feet and pushing forward. To use this skill, you must give a 30- second motivational speech to the people around you. If you do, you gain the ability to produce a single, voice-delivered Remove Weakness effect on everyone within earshot. If you take this skill multiple times, you should always mentally keep track of how many uses of INSPIRATIONAL SPEECH you still have available, until your character gets a chance to rest and regain their full complement of skills."
Defensive Instruction,4*,"Parry","You have mastered the art of melee combat, to the point that you can effectively teach others how to block all kinds of blows. After spending 30 seconds role-playing the process of giving an ally focused instruction on how to fight defensively with melee weapons, you gain the ability to use a single, touch-based “bestow parry” effect on that ally. This means that, for the next 30 minutes, that ally may use the PARRY ability 1 additional time, as though they had taken the related skill themselves. At the end of this 30-minute period, the bestowed use of PARRY goes away, whether the ally used it or not. If you take this skill multiple times, you should always keep track of how many uses of DEFENSIVE INSTRUCTION you still have available, until your character gets a chance to rest and regain their full complement of skills."
Evasive Instruction,6*,"Dodge","You have mastered the art of avoiding harm, to the point that you can effectively teach others how to duck out of the way of all kinds of attacks. After spending 30 seconds role-playing the process of giving an ally focused instruction on how to watch for danger and get out of the way, you gain the ability to use a single, touch-based “bestow dodge” effect on that ally. This means that, for the next 30 minutes, that ally may use the DODGE ability 1 additional time, as though they had taken the related skill themselves. At the end of this 30-minute period, the bestowed use of DODGE goes away, whether the ally used it or not. If you take this skill multiple times, you should always keep track of how many uses of EVASIVE INSTRUCTION you still have available, until your character gets a chance to rest and regain their full complement of skills."
Offensive Instruction,6*,"5-Damage Strike","You have mastered the art of striking with brutal efficiency, to the point that you can effectively teach others how to make a single attack that will devastate their foes. After spending 30 seconds role-playing the process of giving an ally focused instruction on how to hit others where it hurts the most, you gain the ability to use a single, touch-based “bestow 5-damage strike” effect on that ally. This means that, for the next 30 minutes, that ally may use the 5-DAMAGE STRIKE ability 1 additional time, as though they had taken the related skill themselves. At the end of this 30-minute period, the bestowed use of 5-DAMAGE STRIKE goes away, whether the ally used it or not. If you take this skill multiple times, you should always keep track of how many uses of OFFENSIVE INSTRUCTION you still have available, until your character gets a chance to rest and regain their full complement of skills."
Military Drill,10,"Defensive Instruction OR Evasive Instruction OR Offensive Instruction","You have spent so much time teaching others how to handle themselves in a fight that you can produce some amazing, lasting results when you can get people to actually focus on even a fairly brief drill of combat skills. Once per game, you can spend 30 minutes role-playing through a “combat class” with as many people as are interested in participating, thereby bestowing on them valuable abilities that will last for days. The 30-minute MILITARY DRILL itself can focus on a mixture of any on-theme martial activities, including sparring, defense, offense, tactics, or even just marching. (Part of the drill should involve giving a brief, out-of-character explanation of the benefits that participating characters will receive from the class: this constitutes the “special” call listed above.) At the end of the MILITARY DRILL, you can bestow long-lasting abilities that resemble the effects that you could normally bestow with the DEFENSIVE INSTRUCTION, EVASIVE INSTRUCTION, and OFFENSIVE INSTRUCTION skills. The abilities you can bestow are based on which of those three skills you have: if you have all three, then you can bestow special versions of PARRY, DODGE, and 5-DAMAGE STRIKE on all participants—but if you only have 1 or 2 of those skills, your MILITARY DRILL will be more limited. The abilities bestowed by MILITARY DRILL are “special” because they last for 3 full days, with the added bonus that they gain the “Returns With: Rest” property. This means that, for most intents and purposes, participants can act as though their characters had actually gained the related skills for the entire duration of the game session. Of course, in order to gain these benefits, participants must be directly involved with the full 30 minutes of the drill—although it is worth noting that, if a MILITARY DRILL is interrupted by unplanned combat (such as, for instance, a sudden attack by bandits), the drill can simply resume after the interruption. As long as participants begin drilling again with a gap of less than 3 minutes between real combat and practice, the drill can continue exactly where it left off rather than having to start over."
Self-Observation,4,"Defensive Instruction OR Evasive Instruction OR Offensive Instruction","They say that the best way to learn something is to teach it—and, as an advanced instructor and drillmaster in the arts of combat, you have the opportunity to constantly remind yourself of basic, effective combat techniques. Whenever you use the DEFENSIVE INSTRUCTION, EVASIVE INSTRUCTION, OFFENSIVE INSTRUCTION, or MILITARY DRILL skills, you gain the same benefit(s) that your students do."

######################
# The Art of Dueling #
######################
Disarm,4*,-,"As a duelist, you have learned how to strike at your foes’ weapons in a way that can knock those weapons to the ground, giving you a huge advantage until your enemies can pick them up again.  You may only use this skill if you are wielding a “short” or “one-handed” weapon (that is, a melee weapon that is 48 inches or shorter, from pommel to tip) and have one hand free. As you make an attack, you may call “disarm” once. This produces a disarm effect, replacing the damage that your attack would normally deal—and it will work whether the enemy blocks it or not, since hitting a weapon or shield can also be part of the plan. If you get through your enemy’s defenses or strike their weapon, then that enemy’s weapon is disarmed; if you hit a shield instead, then that shield is disarmed. If you take this skill multiple times, you should always keep track of how many uses of DISARM you still have available, until your character gets a chance to rest and regain their full complement of skills."
Feint,1*,-,"As a duelist, you have learned how to fool your enemies into thinking that they must expend energy to defend themselves in places you never meant to hit. You may only use this skill if you are wielding a “short” or “one-handed” weapon (that is, a melee weapon that is 48 inches or shorter, from pommel to tip) and have one hand free. When you use any skill, spell, or bestowed ability to produce a damaging call with a melee attack—such as using 5-DAMAGE STRIKE, DISARM, or BLADE CASTING a spell—and your opponent calls “dodge” or “parry” to cancel your attack, you may immediately call “feint” to regain the use of your special attack. Essentially, this means that your opponent has expended one use of their defensive skill, but you have not expended any uses of your offensive skill or ability. If you were using BLADE CASTING, you retain the mana used to power the spell you were casting. If you take this skill multiple times, you should always keep track of how many uses of FEINT you still have available, until your character gets a chance to rest and regain their full complement of skills"
Invoke Challenge,5,-,"As a duelist, you enjoy the thrill of combat and are energized by the opportunity to focus yourself on a formal test of your prowess. INVOKE CHALLENGE gives you the ability to challenge an opponent (or multiple opponents at once) to a duel; if they accept, then during that duel you may use any of your skills that have the “Returns With: Rest” property as though you were fully rested. The challenge that you invoke must be verbal, it must include the word “challenge” specifically, and it has no effect if your opponent(s) do not accept that challenge in a clear-cut and obvious way. If you issue your challenge to multiple opponents, only those who accept will be considered part of the duel. Once you are in a duel, you may use your “Returns With: Rest” skills as though you were fully rested—but only within the confines of the duel. You cannot knowingly use any such skills on targets other than yourself and your duel opponent(s). In fact, the duel is broken if you or your opponents attack anyone outside the confines of the duel, and it is also broken if anyone outside the duel attacks you or your opponents. Even if there is no interference, the duel does not necessarily have to end with your or your opponents’ death: it also ends if all duelists but one surrender or are incapacitated."
Salute,4,-,"As a duelist, you find that giving your opponents a gesture of respect helps you to focus on the fight and therefore enhances your ability to avoid harm. At any point during or immediately before combat, you may perform an elaborate flourish with your weapon, ending in a salute to your opponent. This process should take at least 3 seconds; when you finish, though, you immediately gain 3 points of temporary armor. Because this armor value is not technically “bestowed,” it can stack with other sources of temporary armor, and enemies must work through these 3 points before they can deal normal damage to your other armor or Health Points.  Unfortunately, though, this temporary armor value will also be removed (if it has not already been broken through) as soon as the current battle is finished."
Stylish Hat,2,"Salute","As a duelist, you understand that fighting is always more worthwhile when you can look fabulous while doing it. To use this skill, you must be wearing an impressive hat of some kind. If you are, then whenever you use the Salute skill you gain 5 temporary armor points instead of 3."
Cloak Fighting,6,-,"As a duelist, you have learned that misdirection and cleverness are often just as good as plate mail. To use this skill, you must be wearing a cloak of some variety. If you are, then you can use that cloak as a kind of shield: any physical attack that hits your cloak (and does not immediately hit a part of your body behind the cloak) is blocked by the cloak and will have no effect. That is, if you are using an arm to hold your cloak out to block a low attack, you will take damage if that attack hits your arm (whether it is in front of or behind the cloak), but you will not take any damage if the attack merely impacts your cloak. Of course, you wouldn’t take any damage in that circumstance even without this skill, and therefore this skill may initially seem useless—that is, anyone hitting your cloak could theoretically just keep pushing through until they hit some part of you underneath. In Twin Mask’s combat system, though, players are not allowed to “muscle through” another person’s guard. The rules of the game mean that enemies have to respect your cloak as a defensive option. Naturally, those same rules mean that you must use your cloak with safety in mind: you may not grapple weapons with your cloak, and you may not use it as a net or snare for tripping people. And, of course, any spell packets hitting your cloak will have their full effect on you, just as they would when hitting a more conventional shield."
Witty Repartee,7,-,"As a duelist, you know the role of a well-placed boast or taunt in the midst of combat. To use this skill, you must first compliment yourself or cleverly insult your opponent’s fighting prowess. Such banter should consist of at least a complete sentence or two, and it should take at least 3 seconds. If you meet these requirements, you may have your next physical attack deal 2 extra damage beyond what it would normally deal, as long as that attack is made within 30 seconds of your witty banter. WITTY REPARTEE can only be used during combat, and although it can be used as often as desired, you must make a distinct boast or taunt between each damageboosted attack."
Pure of Heart,3,"Special","As a duelist, you have pledged your service and your devotion to a lady or a gentleman, such that you wear their favor and dedicate your deeds to their honor and glory. In order to take this skill, you must have chosen an individual person that your character will seek to defend, praise, and obey. This person is generally an idealized lover, but they could also be a family member, a leader, or some other person who is ideologically very important to your character. You must also have a physical object (perhaps a ribbon or a badge) that is meaningfully symbolic of this person’s favor. As long as you continue to role-play true devotion to this chosen person, and as long as you actively wear their favor, you may treat PURE OF HEART as functionally identical to the WILLPOWER skill. PURE OF HEART is cheaper, of course, but it can only be taken once, and it comes with significant role-playing requirements."

###########################
# The School of Suffering #
###########################
Armored Forearms,6,-,"Through intense training and discipline, you have shaped your forearms into shields: their incredibly toughened skin and dense bone are strong enough to stop a blade. To use this skill, you must not be wearing any armor or using any shields, and you may only wield thrown weapons, a bow, or short weapons (which are melee weapons 20 inches or shorter, from pommel to tip). As long as you meet those conditions, you may use your forearms exactly as though they were shields, with the exception that touch-delivered attacks like PRESSURE POINT: STUN ARM will still affect you. All weapon attacks that hit your forearms will have no effect, but, importantly, you are still vulnerable to the BREAK ARM skill."
Armored Shins,9,-,"Through intense training and discipline, you have shaped your shins and feet into shields: their incredibly toughened skin and dense bone are strong enough to stop a blade. To use this skill, you must not be wearing any armor or using any shields, and you may only wield thrown weapons, a bow, or short weapons (which are melee weapons 20 inches or shorter, from pommel to tip). As long as you meet those conditions, you may use your shins and feet exactly as though they were shields, with the exception that touch-delivered attacks like PRESSURE POINT: STUN LEG will still affect you. All weapon attacks that hit your forearms will have no effect, but, importantly, you are still vulnerable to the BREAK LEG skill."
Pressure Point: Stun Arm,2*,-,"You have studied the way that energy flows through the body, and as a result you have learned how to touch an opponent’s arm in a way that will make that specific limb go entirely numb for a few seconds. To use this skill, you must not be wearing any armor. As long as you meet that condition, you may deliver a single touch attack to an enemy’s arm and call “stun arm,” making the arm you touched useless for 3 seconds. If you take this skill multiple times, you should always keep track of how many uses of PRESSURE POINT: STUN ARM you still have available, until your character gets a chance to rest and regain their full complement of skills."
Pressure Point: Stun Leg,2*,-,"You have studied the way that energy flows through the body, and as a result you have learned how to touch an opponent’s leg in a way that will make that specific limb go entirely numb for a few seconds. To use this skill, you must not be wearing any armor. As long as you meet that condition, you may deliver a single touch attack to an enemy’s leg and call “stun leg,” making the leg you touched useless for 3 seconds. If you take this skill multiple times, you should always keep track of how many uses of PRESSURE POINT: STUN LEG you still have available, until your character gets a chance to rest and regain their full complement of skills."
Pressure Point: Lesser Sleep,4*,-,"You have studied the way that energy flows through the body, and as a result you have learned how to touch unguarded opponents in a way that will shut down their consciousness for a few minutes. To use this skill, you must not be wearing any armor. As long as you meet that condition, you may deliver a single touch attack to any part of an enemy’s body and call “lesser sleep,” making them fall into unconsciousness for a full 3 minutes. Keep in mind that, since this is a “Lesser” effect, it will not work on any Returned or other “major” characters. If you take this skill multiple times, you should always keep track of how many uses of PRESSURE POINT: LESSER SLEEP you still have available, until your character gets a chance to rest and regain their full complement of skills."
Slow Bleeding,3,-,"Through a meditative process that brings you to the brink of death, you have learned how to regulate your heartbeat and increase the length of time it takes to bleed to death. Without this skill, the process of bleeding out takes 3 minutes; this skill increases that amount by 3 minutes, up to a total of 6."
Meditative Stillness,2,"Slow Bleeding","Through your increasing mastery of the art of meditation, you have learned how to control not just your heartbeat but also many of your body’s other functions, to the point that you can achieve utter stillness. Even in the midst of great pain, you can make your vital signs fall to a state indistinguishable from death. Though you are still susceptible to TORTURE and other painbased effects, whenever a skill or spell attempts to determine if you are alive, you may choose to answer “no.”"
Slow Death,3,"Meditative Stillness","Through a meditative process that has let you mentally explore the borderlands of death, you have learned how to force your spirit to remain a bit longer in the realm of the living. Without this skill, your allies have 3 minutes after your death in which to use resurrection magic on you; this skill increases that amount by 3 minutes, up to a total of 6."
Torture Resistance,3*,-,"Whether it is through natural toughness, meditative prowess, or just exposure to a lot of pain, you have started to develop the fortitude needed to keep your secrets to yourself while being tortured. When an enemy uses the TORTURE skill and asks you a question, you may call “resist” rather than answering. (See the TORTURE skill for more details on the process of torture.) If you take this skill multiple times, you should always keep track of how many uses of TORTURE RESISTANCE you still have available, until your character gets a chance to rest and regain their full complement of skills."
Torture Immunity,4,"Torture Resistance x3","Through painful experience and the drive to push your willpower until it is truly iron-clad, you have become so resistant to torture that you will never tell your tormentors anything you don’t want to. When an enemy uses the TORTURE skill and asks you a question, you may call “no effect” rather than answering. (See the TORTURE skill for more details on the process of torture.)"

######################
# The Assassin's Art #
######################
Stealth Attack,6,"Short Weapons","You have learned the art of attacking your unsuspecting enemies with both precision and silence, striking in such a way as to leave them with no options but to die. To use this skill, you must not be wearing any armor, and you may only wield short weapons (which are melee weapons 20 inches or shorter, from pommel to tip). As long as you meet those conditions, you may call “stealth” immediately before any melee attack you make on someone whose back is turned. As long as your attack lands on your enemy’s back, they cannot use PARRY or DODGE to cancel the effects of that attack."
10-Damage Strike,8*,"Short Weapons","You know how to strike with surgical precision, dealing a devastating amount of damage not through brute force but through unerring accuracy. To use this skill, you must not be wearing any armor, and you may only wield short weapons (which are melee weapons 20 inches or shorter, from pommel to tip). As long as you meet those conditions while you make a physical ranged or melee attack, you may choose to have that attack deal a base amount of 10 damage (and therefore call “10”). If you take this skill multiple times, you should always keep track of how many uses of 10-DAMAGE STRIKE you still have available, until your character gets a chance to rest and regain their full complement of skills."
Studied Killer,6,"Stealth Attack","You have mastered the art of hiding in plain sight, not letting your enemies know your real plans until it is far too late. To use this skill, you must not be wearing any armor, and you may only wield short weapons (which are melee weapons 20 inches or shorter, from pommel to tip).  Additionally, you must stay within arm’s reach (roughly 3 feet) of your target for at least 30 seconds. Once that time has elapsed, assuming you meet the other conditions, you may call “stealth” immediately before your next melee attack against that target. That is, as long as you have been close enough for long enough, you may make a stealth attack from plain sight, even if you are right in front of your target. As with the STEALTH ATTACK skill, that target cannot use PARRY or DODGE to cancel the effects of the attack"
Twist the Knife,10,"Stealth Attack, 10-Damage Strike","You have learned how to really make your stealth attacks hurt—you can take a powerful blow and really grind it into your foe, turning merely “impressive” damage into something truly lethal.  If you have this skill, the damage you deal with the 3-DAMAGE STRIKE and/or 5-DAMAGE STRIKE skills is automatically enhanced, as long as you are using that skill in conjunction with the STEALTH ATTACK skill. With TWIST THE KNIFE, a 3-DAMAGE STRIKE’s base damage is improved to 5, and a 5-DAMAGE STRIKE’s base damage is improved to 10."
Poisoned Ring,4,"Stealth Attack, Lore: Alchemy","You have studied not only the complex ways that poisons interact with the body, but also the most artful ways to administer them to the unsuspecting. To use this skill, you must be wearing a ring on one of your hands. As long as you are not already in combat with your target, you may choose to touch them with your ring-bearing hand and deliver a powerful time-release poison, calling “0 poison 10.” This means that the target will not take any damage immediately, but they will be aware that they have been poisoned, they will probably not be happy about your treachery…and, in 30 seconds, they will take 10 damage."
Shin Kick,3*,"Stun","You know how to surprise a foe with a sudden attack, extending the advantage that the element of surprise gives you. That—or maybe you just like kicking people. As long as you are not already in combat with your target, you may use this skill to deliver a touch attack and call “stun,” making your target ineffective and reeling for 3 seconds. For safety reasons, you should not actually kick anyone, but you are encouraged to pantomime a kick at the same time that you deliver the touch attack. If you take this skill multiple times, you should always keep track of how many uses of SHIN KICK you still have available, until your character gets a chance to rest and regain their full complement of skills."
Sand In Your Eyes,3*,"Stun","You have learned to take any advantage you can get in a fight, and you are not ashamed if that advantage involves chucking some sand into your enemy’s face. When you use this skill, you may throw a spell packet at an opponent and call “stun,” knocking them reeling for 3 seconds if the packet connects. The spell packet is meant to simulate a handful of sand or dirt—but Twin Mask rules prohibit throwing packets at people’s faces, so you will have to throw it to hit them elsewhere. If you take this skill multiple times, you should always keep track of how many uses of SAND IN YOUR EYES you still have available, until your character gets a chance to rest and regain their full complement of skills."
